ID_ENTIDAD;GUID_ENTIDAD;RUC;RAZON_SOCIAL;NOMBRE_COMERCIAL
489;E990E9E0-0770-45C3-B283-EFCE1B043CD9;14653725792;CORPORACION PARTICULAR 25792 HOLDING S.A.;CORPORACION PARTICULAR 25792 HOLDING
490;12F9DA14-DC14-46A4-B1A0-0AEBDAD8E232;11653725960;CONSORCIO NACIONAL 25960 SERVICIOS GENERALES S.A.C.;CONSORCIO NACIONAL 25960 SERVICIOS GENERALES
491;3440A6FB-C947-47C4-819F-EE9163315929;13653726380;INDUSTRIA PUBLICA 26380 HOLDING S.A.;INDUSTRIA PUBLICA 26380 HOLDING
492;90AB3DBD-BD55-4AE0-A65B-E03BB38CD71C;15653726241;COMERCIO NO GUBERNAMENTAL 26241 S.R.L.;COMERCIO NO GUBERNAMENTAL 26241
493;F5934FDD-FA8D-497B-BAC3-84AE59DF9947;12653731134;UNIVERSIDAD PRIVADA 31134 CORP. S.A.C.;UNIVERSIDAD PRIVADA 31134 CORP.
494;437D97D7-DDEC-4915-9193-85CFC2CC5499;92535209871;EMPRESA ESTATAL 09871 S.A;EMPRESA ESTATAL 09871
495;7AFFE4A5-6278-4289-9979-927ECBA57245;14653875807;SERVICIOS INTEGRALES INTERNACIONAL 75807 S.A.C.;SERVICIOS INTEGRALES INTERNACIONAL 75807
496;1D568A85-BEA2-4147-9060-A9D1F189963B;13653879243;TECNOLOGIAS APLICADAS ESTATAL 79243 S.C.R.L.;TECNOLOGIAS APLICADAS ESTATAL 79243
497;1B364575-83FC-4122-9710-7E4DD4EDCC19;12653879231;ALMACENES MUNICIPAL 79231 INVERSIONES S.A.C.;ALMACENES MUNICIPAL 79231 INVERSIONES
498;083D633A-181A-4791-A627-FEE6251F5F6E;15653883740;LOGISTICA NACIONAL NACIONAL 83740 CORP. S.A.C.;LOGISTICA NACIONAL NACIONAL 83740 CORP.
499;D345046D-4E69-4F24-943B-E7B0F2073FA9;17653902925;INVERSIONES REGIONAL 02925 COOPERATIVA;INVERSIONES REGIONAL 02925
500;4B6FBE5B-E51D-4C0F-9B9D-7D18874CEBA9;18653914108;CONSULTORIA ESTRATEGICA PRIVADA 14108 SAA;CONSULTORIA ESTRATEGICA PRIVADA 14108
501;02EC17DA-0135-4897-96C0-6BBA3F6B2C46;10653914700;IMPORTACIONES DEL PACIFICO PUBLICA 14700 S.A;IMPORTACIONES DEL PACIFICO PUBLICA 14700
502;ACCDE10D-77A7-49A5-8EC3-A30217003104;19653917243;EXPORTACIONES ANDINAS PARTICULAR 17243 FUNDACION;EXPORTACIONES ANDINAS PARTICULAR 17243
503;1C5F43D3-66C9-43F7-9BC4-2076DE49404E;11653918913;DISTRIBUCIONES GENERALES NO GUBERNAMENTAL 18913 SAA;DISTRIBUCIONES GENERALES NO GUBERNAMENTAL 18913
504;DCF039F9-E24E-4C4A-BFEA-19CFADAFB08D;17654009996;UNIDAD CORPORATIVA NACIONAL 09996 S.A.C.;UNIDAD CORPORATIVA NACIONAL 09996
505;AAC7D145-5D32-4A51-BA40-722DFFE05621;18654022671;DESARROLLO TERRITORIAL PRIVADA 22671 S.A.C.;DESARROLLO TERRITORIAL PRIVADA 22671
506;7A3B9C70-6312-4A90-82C0-0C908B59185D;19654043233;RED COMERCIAL PUBLICA 43233 S.C.R.L;RED COMERCIAL PUBLICA 43233
507;FA22331A-C4A5-4999-83E4-D2324B86F7A4;11654065329;PROYECTOS Y OBRAS REGIONAL 65329 SRL;PROYECTOS Y OBRAS REGIONAL 65329
508;FB5C6062-D51C-49F7-924E-A00461ACF580;10654065228;OPERACIONES INDUSTRIALES OTRO 65228 SERVICIOS GENERALES S.A.C.;OPERACIONES INDUSTRIALES OTRO 65228 SERVICIOS GENERALES
509;B9656B15-E401-4687-AEC3-0885BC14CA44;12654066834;SERVICIOS DIGITALES PARTICULAR 66834 S.R.L.;SERVICIOS DIGITALES PARTICULAR 66834
510;D7B416D3-EDFE-4427-A83A-1DBB7B3B8A3D;13654069338;CENTRO EMPRESARIAL ESTATAL 69338 S.S;CENTRO EMPRESARIAL ESTATAL 69338
511;B3D7350E-491A-4D00-9A07-666C13CFA286;15654088964;GESTION ADMINISTRATIVA INTERNACIONAL 88964 CONSORCIO S.A.C.;GESTION ADMINISTRATIVA INTERNACIONAL 88964 CONSORCIO
512;8F822DE1-29A7-446B-9A45-74B2A25D6706;14654091450;MERCADOS MAYORISTAS MUNICIPAL 91450 COOP.;MERCADOS MAYORISTAS MUNICIPAL 91450
513;7C4A2322-87D1-48AE-8A3F-2A0AE2F25229;17654104940;UNIVERSIDAD NACIONAL SAN MARCOS 04940 HOLDING S.A.;UNIVERSIDAD NACIONAL SAN MARCOS 04940 HOLDING
514;EB817F08-104F-4A9D-A3B8-4777F3561B28;11654222688;UNIVERSIDAD CATOLICA 22688 S.A;UNIVERSIDAD CATOLICA 22688
515;A8F70420-6B2E-46B2-85DC-75DE378D19DA;13654227169;PLATAFORMA LOGISTICA NO GUBERNAMENTAL 27169 S.R.L.;PLATAFORMA LOGISTICA NO GUBERNAMENTAL 27169
516;3D504394-A81B-47DA-9F12-13B433202FFC;12654227007;MINISTERIO DE SALUD 27007 EIRL;MINISTERIO DE SALUD 27007
517;7840A12B-6910-4FF5-ACEC-03353281BBA2;14654243732;MINISTERIO DE EDUCACION 43732 S.R.L.;MINISTERIO DE EDUCACION 43732
